Tweet;Creation_date;Name;User;location;retweets;favorites;friends_count;followers_count;Classification
"Minha família é louca demais kkk
Meu tio perguntando pra outro tio que trabalha no IBAMA quanto é uma arara azul";Pablo Lemes;sou_pablo2;29/11/2020 18:01;Brasília, Brasil;0;1;271;244;-1
Se é azul e fala, só pode ser uma arara https://t.co/3nyoDn94ws;MMD&Doider 💃;BeckieApenas;29/11/2020 17:18;Manaus, Brazil;0;0;192;105;0
E ontem o cara me aparece com uma arara azul no helipa tio ????? Kkkkkkk;Vanderson 🦅;Vaandoo_;29/11/2020 14:55;São Bernardo do Campo;0;1;376;577;-1
@hallwayghost KAKAKKAKA a arara azul era de uma moça q tava numa pracinha nem sei se pode ter arara azul e aq tbm tem capivara KKKKKKK eu e a minha amg já perseguimos duas filhotinhas 😔;duda • 📖: hdo⁵;twentyhalpert;29/11/2020 03:44;;0;0;6652;6693;-1
@twentyhalpert eu moro interior to acostumada com lagarto/sapo/maritaca/capivara o tempo todo mas dai vc mete uma ARARA AZUL????;pâmela;hallwayghost;29/11/2020 03:40;🏡 = frens;0;0;586;641;0
@hallwayghost aliás a moça da arara azul tava com dois goldens lindos 😭😭;duda • 📖: hdo⁵;twentyhalpert;29/11/2020 03:26;;0;0;6652;6693;0
sério hj eu vi uma arara azul no ombro de uma moça vi um sapo aq dentro de casa, um porco espinho subindo uma árvore e dps eu tava debaixo de uma árvore e um morcego saiu de lá tomei mó susto;duda • 📖: hdo⁵;twentyhalpert;29/11/2020 03:21;;0;0;6652;6693;-1
"hoje eu fui no shopping e passei por uns caras, meu cabelo está azul, aí o cara perguntou pro outro ""vc gosta de arara?"" o outro respondeu sim, nisso uma mina tava passando junto com o cabelo vermelho... ele soltou um ""da pra vc escolher, tem a arara azul e a arara vermelha"" 
eu: https://t.co/yEogvxPSfh";ｍａｒｉｎａ 🏳️‍🌈⃤;_sem_ideia_k;29/11/2020 03:00;São Paulo, Brasil;0;0;396;516;0
@hotwhilson Acha certo zoar minha arara azul kkkkkkkkkk;Prado 🇧🇷;Prad0_02;29/11/2020 02:44;Itu, Brasil;0;1;210;411;0
"@nekocolorido se acertar me deve um beijo

qual a cor da arara azul?";uiu uiu 🚨;_shot0;29/11/2020 02:17;;0;1;70;43;0
"O fogo atinge a área de alimentação da arara-azul e a base das árvores onde nidifica
https://t.co/U0j7Xdw2LU";©2006 John, Inc.🌐;2006JohnInc;29/11/2020 02:14;Brasil;1;6;5006;2352;-1
@ayuleandro Eita meu Deus que lombra errada, por algum motivo que eu não saberei explicar qual é, jurei que a marca era arara azul;sara corações com buraquinhos;pqpsara;28/11/2020 23:59;Olinda, Brasil;0;1;129;86;0
@ancap_alpha Churrasco de arara azul;messi careca ancap🐍;messi_careca6;28/11/2020 22:30;ancapistão;0;2;203;362;-1
'ate que enfim fez uma em arara azul';𝖆 𝖕𝖗𝖆𝖉𝖔;beauty_camy;28/11/2020 22:08;;0;0;43;43;0
@deercheerup COLOCA ARARA AZUL NA LOJA LINDINHO, PEDE PRO CASIMITO Q ELE FORNECE ALGUMAS!!!;ESTOU ABELIZADO 🐝🇵🇹;ZueroFlash;28/11/2020 19:47;O Lugar onde todos amam o Ney;0;2;470;119;-1
"@disaster_fruit Mas gente, o que aconteceu com o barco da Tina :O Já estou imaginando que houve um ataque ao barco dela, a Lulu resgatou a tripulação e agora estão todos em um navio superlotado jkgjksdfh

Ahhhh como elas ficaram lindas mesmo bravinhas 🥰🥰🥰🥰 E a arara azul!!!! 💕💕💕💕";Zu⁷ 🎶 ᴮᴱ 🎶;zulenha;28/11/2020 19:32;Brazil;0;1;323;562;0
"@disaster_fruit Adorei os cabelos. A cara da Lu é o melhor ajauahauahah muito lindo tudo
as roupas, o barco ♥♥
Lu tem uma arara azul!";Mamãe Império;Thami_Hakin;28/11/2020 18:53;Huelandia;0;1;398;505;0
@jeff_kun @pablomoreno Amo!!! Nome da novela, fotos aleatórias e um power point com fotos de ator! Fundo pixelado, marcha de milico, sutil propaganda do PSDBÊÊÊ! Cenas de pobreza, coisa azul rápida, Rio de Janeiro, Maracanã, Shumacher! Fruta e arara, PM, congresso, uma asa delta, flor efeito batido!;Victor;victoranicio;28/11/2020 18:27;BH;0;4;431;93;0
"@PortalRaissaOFC A de arara azul kkkkk

3M DA HULKINHA";tropadaprotagonista 🐇🎪💥;cv_duda;28/11/2020 17:52;;0;0;76;10;0
"@rafaelainferno Rafa tem gente que tem arara. ARARA AZUL. 
UMA   A R A R A.
                          A Z U L
MANO?????? E fala “ah mas tem certificado do ibama, ela eh muito bem cuidada, como se fosse um filho” SABE?????? Pqp";vit;_vitoriacb;28/11/2020 17:44;Mato Grosso do Sul, Brasil;0;1;352;704;-1
"""Eu n entendo o estado do Paraná, deixam ser estinta a Arara-Azul e preservam essa polaca baladeira"" 

-Mario Jorge https://t.co/BwE5mmQl0W";ɡɑbɘ;gabepaim;28/11/2020 17:17;Grimmauld Place, nº 12.;0;0;336;155;-1
Coloco led azul na parte de baixo da minha arara ou na penteadeira indo pro espelho?;Drê;grossl_a;28/11/2020 16:59;Porto União, Brasil;0;0;442;720;0
Cada vez que este senhor aparece na mídia após o 7x1, uma arara azul perde uma pena de desgosto https://t.co/vjqRkeaIEV;Igor;igorrezol;28/11/2020 13:42;Rio de Janeiro, Brasil;0;0;990;259;0
bem contente por ter visto uma arara azul😍;Luisin,né🎭;luisindequebra;28/11/2020 12:59;Lisboa, Portugal;0;0;231;223;1
@FeministaMona Essa gente é toda bizarra, acho que comem filhotes de arara azul no café da manhã.;Fábio Lula Martins;Fabiomarbinho;28/11/2020 12:55;;0;3;3255;17447;-1
@b_anahoi Uma arara azul, ou um golfinho!;A Bruxa do Dia.;Cahnela;28/11/2020 11:54;;0;1;537;584;0
@MLauraAssis @PDChina O pássaro vermelho virou a arara azul do jornalismo lacrador brasileiro agora todos querem protege dos conservadores malvado a mídia esquece das almas da praça celestial;Robigol;Robigol7;28/11/2020 10:02;Duque de Caxias, Rj;0;0;65;8;0
velho as vezes eu penso no fato de já ter criado tucano arara azul arara vermelha bode avestruz macaco cutia pato em casa;jude;exwarsz;28/11/2020 03:11;;0;3;118;117;0
"Hj eu vi uma arara azul ao vivo e a cores.
MEU DEUS QUE COISA ESPETACULAR";Librianca ♎;aricaib_;28/11/2020 02:58;Casa do Caralho;0;0;510;1606;1
@naoleiomaiskkjk sim cara noias sao muito fofos e macios, os musculos todos flacidos e aguados ficam parecendo um travesseiro de pluma de arara azul juro p vc;𝒛𝒂𝒏𝒈𝒆𝒕𝒔𝒖ᵐᵉʰʳᵒ;_vvkat;28/11/2020 02:32;Jundiaí, Brasil;0;0;476;494;0
@buckylokie no meu cabelo o arara azul não desbotou bem, mas deve ter sido a base;mindonut 📖 stsc;worktoplxy;28/11/2020 02:28;corpo e coração no abismo;0;0;581;550;0
@the_uchiha_leh A arara azul é roxa;OxeePedro;PedroTeodozio;28/11/2020 01:58;;0;0;386;284;0
"A Ana Paula Araújo tá uma arara azul de raiva com o nível do debate

#DebateGloboRio";Carlos Fonseca;eucarlosfonseca;28/11/2020 01:55;São Gonçalo/Niterói - RJ;0;0;556;679;0
@tommosfalling QUERIA MUITO SER UMA ARARA AZUL;sam ☮︎ |🧃🏹;vnbadlands;28/11/2020 01:41;cam's girl 💍;0;0;1070;1573;1
Oioi ent se vc tava jogando among us agora com o nick de “Arara Azul” pfvr entrar em contato, pq quero mt ser sua friend, tbm tinha o “Trump” q estava na cor branca, obgg💕✨ https://t.co/OF2u2BSODF;Azz;IcceAzz;28/11/2020 01:27;Iɴ ᴍʏ ᴅʀᴇᴀᴍs~☂︎︎;0;0;659;433;0
"Visitas diárias aqui na fazenda. Arara azul❤️
Eu amo ver esses bichos soltos e felizes. https://t.co/S4Z1wif9bV";Fabi_arq;Fabiarq1;28/11/2020 00:34;Belo Horizonte, Brasil;0;6;989;1889;1
"Uma Arara azul no shopping
Ana Vitória: olha, um papagaio";pretinha💖;cris_oliveiragk;28/11/2020 00:30;Idris;0;3;389;225;0
@ttdalivinha_ arara azul, em homenagem;guilherme mendel;ttdomendel;28/11/2020 00:27;Belo Horizonte;0;1;499;240;0
@CBF_Futebol mana, eu amo o canarinho pistola mas dê a essa seleção feminina a arara azul de mascote por favor;lolo;lmjxvalk;28/11/2020 00:01;morrendo de calor em slz;0;4;203;97;0
Quando sobrou ai so umas 14 ou 11 arara azul;Carlos Portela;Carloosportela;27/11/2020 23:51;Vitória da Conquista, Brasil;0;0;787;850;0
