Tweet;Creation_date;Name;User;location;retweets;favorites;friends_count;followers_count
"Minha família é louca demais kkk
Meu tio perguntando pra outro tio que trabalha no IBAMA quanto é uma arara azul";Pablo Lemes;sou_pablo2;2020-11-29 18:01:21;Brasília, Brasil;0;1;271;244
Se é azul e fala, só pode ser uma arara https://t.co/3nyoDn94ws;MMD&Doider 💃;BeckieApenas;2020-11-29 17:18:00;Manaus, Brazil;0;0;192;105
E ontem o cara me aparece com uma arara azul no helipa tio ????? Kkkkkkk;Vanderson 🦅;Vaandoo_;2020-11-29 14:55:09;São Bernardo do Campo;0;1;376;577
@hallwayghost KAKAKKAKA a arara azul era de uma moça q tava numa pracinha nem sei se pode ter arara azul e aq tbm tem capivara KKKKKKK eu e a minha amg já perseguimos duas filhotinhas 😔;duda • 📖: hdo⁵;twentyhalpert;2020-11-29 03:44:30;;0;0;6652;6693
@twentyhalpert eu moro interior to acostumada com lagarto/sapo/maritaca/capivara o tempo todo mas dai vc mete uma ARARA AZUL????;pâmela;hallwayghost;2020-11-29 03:40:04;🏡 = frens;0;0;586;641
@hallwayghost aliás a moça da arara azul tava com dois goldens lindos 😭😭;duda • 📖: hdo⁵;twentyhalpert;2020-11-29 03:26:09;;0;0;6652;6693
sério hj eu vi uma arara azul no ombro de uma moça vi um sapo aq dentro de casa, um porco espinho subindo uma árvore e dps eu tava debaixo de uma árvore e um morcego saiu de lá tomei mó susto;duda • 📖: hdo⁵;twentyhalpert;2020-11-29 03:21:34;;0;0;6652;6693
"hoje eu fui no shopping e passei por uns caras, meu cabelo está azul, aí o cara perguntou pro outro ""vc gosta de arara?"" o outro respondeu sim, nisso uma mina tava passando junto com o cabelo vermelho... ele soltou um ""da pra vc escolher, tem a arara azul e a arara vermelha"" 
eu: https://t.co/yEogvxPSfh";ｍａｒｉｎａ 🏳️‍🌈⃤;_sem_ideia_k;2020-11-29 03:00:31;São Paulo, Brasil;0;0;396;516
@hotwhilson Acha certo zoar minha arara azul kkkkkkkkkk;Prado 🇧🇷;Prad0_02;2020-11-29 02:44:35;Itu, Brasil;0;1;210;411
"@nekocolorido se acertar me deve um beijo

qual a cor da arara azul?";uiu uiu 🚨;_shot0;2020-11-29 02:17:54;;0;1;70;43
"O fogo atinge a área de alimentação da arara-azul e a base das árvores onde nidifica
https://t.co/U0j7Xdw2LU";©2006 John, Inc.🌐;2006JohnInc;2020-11-29 02:14:15;Brasil;1;6;5006;2352
@ayuleandro Eita meu Deus que lombra errada, por algum motivo que eu não saberei explicar qual é, jurei que a marca era arara azul;sara corações com buraquinhos;pqpsara;2020-11-28 23:59:21;Olinda, Brasil;0;1;129;86
@ancap_alpha Churrasco de arara azul;messi careca ancap🐍;messi_careca6;2020-11-28 22:30:10;ancapistão;0;2;203;362
'ate que enfim fez uma em arara azul';𝖆 𝖕𝖗𝖆𝖉𝖔;beauty_camy;2020-11-28 22:08:38;;0;0;43;43
@deercheerup COLOCA ARARA AZUL NA LOJA LINDINHO, PEDE PRO CASIMITO Q ELE FORNECE ALGUMAS!!!;ESTOU ABELIZADO 🐝🇵🇹;ZueroFlash;2020-11-28 19:47:08;O Lugar onde todos amam o Ney;0;2;470;119
"@disaster_fruit Mas gente, o que aconteceu com o barco da Tina :O Já estou imaginando que houve um ataque ao barco dela, a Lulu resgatou a tripulação e agora estão todos em um navio superlotado jkgjksdfh

Ahhhh como elas ficaram lindas mesmo bravinhas 🥰🥰🥰🥰 E a arara azul!!!! 💕💕💕💕";Zu⁷ 🎶 ᴮᴱ 🎶;zulenha;2020-11-28 19:32:04;Brazil;0;1;323;562
"@disaster_fruit Adorei os cabelos. A cara da Lu é o melhor ajauahauahah muito lindo tudo
as roupas, o barco ♥♥
Lu tem uma arara azul!";Mamãe Império;Thami_Hakin;2020-11-28 18:53:23;Huelandia;0;1;398;505
@jeff_kun @pablomoreno Amo!!! Nome da novela, fotos aleatórias e um power point com fotos de ator! Fundo pixelado, marcha de milico, sutil propaganda do PSDBÊÊÊ! Cenas de pobreza, coisa azul rápida, Rio de Janeiro, Maracanã, Shumacher! Fruta e arara, PM, congresso, uma asa delta, flor efeito batido!;Victor;victoranicio;2020-11-28 18:27:09;BH;0;4;431;93
"@PortalRaissaOFC A de arara azul kkkkk

3M DA HULKINHA";tropadaprotagonista 🐇🎪💥;cv_duda;2020-11-28 17:52:14;;0;0;76;10
"@rafaelainferno Rafa tem gente que tem arara. ARARA AZUL. 
UMA   A R A R A.
                          A Z U L
MANO?????? E fala “ah mas tem certificado do ibama, ela eh muito bem cuidada, como se fosse um filho” SABE?????? Pqp";vit;_vitoriacb;2020-11-28 17:44:25;Mato Grosso do Sul, Brasil;0;1;352;704
"""Eu n entendo o estado do Paraná, deixam ser estinta a Arara-Azul e preservam essa polaca baladeira"" 

-Mario Jorge https://t.co/BwE5mmQl0W";ɡɑbɘ;gabepaim;2020-11-28 17:17:32;Grimmauld Place, nº 12.;0;0;336;155
Coloco led azul na parte de baixo da minha arara ou na penteadeira indo pro espelho?;Drê;grossl_a;2020-11-28 16:59:25;Porto União, Brasil;0;0;442;720
Cada vez que este senhor aparece na mídia após o 7x1, uma arara azul perde uma pena de desgosto https://t.co/vjqRkeaIEV;Igor;igorrezol;2020-11-28 13:42:56;Rio de Janeiro, Brasil;0;0;990;259
bem contente por ter visto uma arara azul😍;Luisin,né🎭;luisindequebra;2020-11-28 12:59:29;Lisboa, Portugal;0;0;231;223
@FeministaMona Essa gente é toda bizarra, acho que comem filhotes de arara azul no café da manhã.;Fábio Lula Martins;Fabiomarbinho;2020-11-28 12:55:45;;0;3;3255;17447
@b_anahoi Uma arara azul, ou um golfinho!;A Bruxa do Dia.;Cahnela;2020-11-28 11:54:17;;0;1;537;584
@MLauraAssis @PDChina O pássaro vermelho virou a arara azul do jornalismo lacrador brasileiro agora todos querem protege dos conservadores malvado a mídia esquece das almas da praça celestial;Robigol;Robigol7;2020-11-28 10:02:16;Duque de Caxias, Rj;0;0;65;8
velho as vezes eu penso no fato de já ter criado tucano arara azul arara vermelha bode avestruz macaco cutia pato em casa;jude;exwarsz;2020-11-28 03:11:54;;0;3;118;117
"Hj eu vi uma arara azul ao vivo e a cores.
MEU DEUS QUE COISA ESPETACULAR";Librianca ♎;aricaib_;2020-11-28 02:58:49;Casa do Caralho;0;0;510;1606
@naoleiomaiskkjk sim cara noias sao muito fofos e macios, os musculos todos flacidos e aguados ficam parecendo um travesseiro de pluma de arara azul juro p vc;𝒛𝒂𝒏𝒈𝒆𝒕𝒔𝒖ᵐᵉʰʳᵒ;_vvkat;2020-11-28 02:32:41;Jundiaí, Brasil;0;0;476;494
@buckylokie no meu cabelo o arara azul não desbotou bem, mas deve ter sido a base;mindonut 📖 stsc;worktoplxy;2020-11-28 02:28:23;corpo e coração no abismo;0;0;581;550
@the_uchiha_leh A arara azul é roxa;OxeePedro;PedroTeodozio;2020-11-28 01:58:15;;0;0;386;284
"A Ana Paula Araújo tá uma arara azul de raiva com o nível do debate

#DebateGloboRio";Carlos Fonseca;eucarlosfonseca;2020-11-28 01:55:37;São Gonçalo/Niterói - RJ;0;0;556;679
@tommosfalling QUERIA MUITO SER UMA ARARA AZUL;sam ☮︎ |🧃🏹;vnbadlands;2020-11-28 01:41:41;cam's girl 💍;0;0;1070;1573
Oioi ent se vc tava jogando among us agora com o nick de “Arara Azul” pfvr entrar em contato, pq quero mt ser sua friend, tbm tinha o “Trump” q estava na cor branca, obgg💕✨ https://t.co/OF2u2BSODF;Azz;IcceAzz;2020-11-28 01:27:41;Iɴ ᴍʏ ᴅʀᴇᴀᴍs~☂︎︎;0;0;659;433
"Visitas diárias aqui na fazenda. Arara azul❤️
Eu amo ver esses bichos soltos e felizes. https://t.co/S4Z1wif9bV";Fabi_arq;Fabiarq1;2020-11-28 00:34:03;Belo Horizonte, Brasil;0;6;989;1889
"Uma Arara azul no shopping
Ana Vitória: olha, um papagaio";pretinha💖;cris_oliveiragk;2020-11-28 00:30:11;Idris;0;3;389;225
@ttdalivinha_ arara azul, em homenagem;guilherme mendel;ttdomendel;2020-11-28 00:27:21;Belo Horizonte;0;1;499;240
@CBF_Futebol mana, eu amo o canarinho pistola mas dê a essa seleção feminina a arara azul de mascote por favor;lolo;lmjxvalk;2020-11-28 00:01:26;morrendo de calor em slz;0;4;203;97
Quando sobrou ai so umas 14 ou 11 arara azul;Carlos Portela;Carloosportela;2020-11-27 23:51:42;Vitória da Conquista, Brasil;0;0;787;850
vou comprar arara azul e boto rosa fazer um cabelo bem 💙💜💖;𝑳𝒊𝒗𝒊𝒂 ⚡️|| CONTA NOVA;ttdalivinha_;2020-11-27 23:29:24;sp zl;0;1;192;429
@ttdalivinha_ arara azul ou beija flor;sofiazinha;sofiabobinha;2020-11-27 23:29:22;;0;1;494;264
@ttdalivinha_ Boto rosa ou arara azul;risadinha 🏳‍🌈;Paulino_lulu;2020-11-27 23:28:04;;0;1;189;22
@ttdalivinha_ o da arara azul;ℒ𝒶𝓎𝓁𝒶🍡;laylaaduarte;2020-11-27 23:26:47;;0;1;435;481
"@slexiesheridan Kkkk armaria, assim é triste
A violeta sai em 2 dias comigo 
O q grudou q foram quase 9 dias pra sair foi a  tinta arara azul da kamaleao 
Meu banheiro tá sujo até hoje HUAHAH";Snowball 📖: Vamos Aquecer o Sol;StarClusterClub;2020-11-27 21:43:23;;0;0;687;686
@davitjj_ oc na minha vida;Fláงiค🌻;arara_azul_;2020-11-27 21:30:22;Minas Gerais, Brasil;0;0;88;61
@arara_azul_ que jeito kkkkk que calúnia;cris;karevcris;2020-11-27 21:27:14;São Simão, Brasil;0;1;292;403
@liberato_netoo gatin, man tenho um óculos igual o seu KKKKKK;Fláงiค🌻;arara_azul_;2020-11-27 21:26:00;Minas Gerais, Brasil;0;1;88;61
