Tweet;Creation_date;Name;User;location;retweets;favorites;friends_count;followers_count;Classification
@clubpenguy caralho mano eu adoro Tamanduá Bandeira se alimentando de formigas e cupins;🥑;lagartoplas;29/11/2020 18:53;ela/dela;0;0;1141;405;1
@clubpenguy ta, mas tamanduá bandeira se alimentando de formiga e cupins?;Manssono;Manssono2;29/11/2020 18:36;;0;0;117;15;0
Tamanduá Bandeira se alimentando de formigas e cupins https://t.co/Wpwccm66FB;linora;clubpenguy;29/11/2020 18:29;;0;0;146;173;0
@g1 O cara aspirava mais que tamanduá bandeira, aí morre e a culpa é do cardiologista que não tomou as precauções necessárias. Só se acorrentasse dentro de casa e longe da garrafa de whisky.;Felipe Jotz;FelipeJotz;29/11/2020 15:41;Hong Kong;0;0;124;53;0
@CincinnatiZoo We call her Tamanduá in Brazil. The tamanduá bandeira is an icon here. So cute!!!;Juliana Lins;juzin_lins;29/11/2020 14:06;;0;4;265;15;1
Tamanduá-bandeira é capturado em terreno baldio https://t.co/9ViLZEyLRY https://t.co/glkHsdKN3s;Jornal Capital News;CapitalNews;29/11/2020 08:32;Mato Grosso do Sul - Brasil;0;0;705;4832;1
já era @shotofps perdeu a muie, walkinho pica de mel passa o rodo nas web novinhas, slk papai voltei exausto do gf meu braço tá parecendo um Tamanduá-bandeira ✌️🍃;wo;walkomeow;29/11/2020 06:50;Americana - SP;0;2;371;289;0
"O @othiagoventura vai criar um exército de Tamanduá-bandeira! 🤪

Fica ligado, toda SEGUNDA tem #ComedyCentralApresenta com tema INÉDITO às 22h, no Comedy Central https://t.co/XLn633yaZO";Comedy Central Brasil;ComedyCentralBR;28/11/2020 21:00;;1;18;322;144721;0
@DaniloGentili O presente é um tamanduá bandeira com gripe;Ricardo Massad;ricardomassad;28/11/2020 19:08;Sao Paulo, BR;0;0;2964;316;0
@leal_roberto2 Nossa sim, no meu campus tem aquela ong Mata Ciliar, falam que chega muuuito tamanduá bandeira atropelado, até onça vem tb :/;๖ētiຖค ☻;_Betina;28/11/2020 17:34;;0;0;717;926;-1
Meu padrasto disse que eu to parecendo um tamanduá bandeira de reflexo, muito fdp kkkkkkkkkkkkkk;278;Rafaaraujo119;28/11/2020 16:14;Onde a bala voa ;0;1;382;228;0
‘’tamanduá bandeira’’  ta amando QUAL bandeira;alma depenada;paralelebipede;28/11/2020 02:40;;11;86;393;24620;0
@kid_hj Um hospício tem mais pessoas racionais e sensatas que o mundo real, meu tamandua bandeira é a prova viva disso;fakezin (olha o fixado se puder);isaackkkkkkk;27/11/2020 23:55;bahia;0;1;632;49;0
"@bojackcaraoi cor de tamanduá bandeira: te vejo por aí e te achei engraçado

eu sou cor de tamanduá bandeira.";Sapu fds;EhSapu;27/11/2020 21:09;puta que pariu, India;0;1;482;169;0
PMA captura tamanduá-bandeira no bairro Monte Castelo em Campo Grande https://t.co/dwX4Q6mV8Y;MS Hoje;MSHoje_combr;27/11/2020 20:40;Campo Grande, Brasil;0;0;111;157;1
"#DICA: curta documental ""Agachem, Segurem, Formem, Arrasem"" do diretor @BauCaio, sobre o amistoso do Tamanduá Bandeira Rugby Club com @CiervosPampas na parada LGBTQIA+ de 2019
https://t.co/UBnUxBjqnY #assista e arrasem!";Fabio Allves;FabioAllves;27/11/2020 20:03;Sao Paulo, Brazil;0;1;1535;1605;0
Minha cachorra matou três tatu E UM TAMANDUÁ BANDEIRA;Marcela 🦦;VenicceBiitch;27/11/2020 19:26;eu:bissexual,drugs,likes cats.;0;2;282;350;-1
Tamanduá-bandeira é capturado em terreno do bairro Monte Castelo https://t.co/uDliifjVAW;DIRETO DAS RUAS;diretodasruasbr;27/11/2020 18:21;Campo Grande, Brasil;0;0;274;58;1
